DATA_FREE,CHECK_TIME,TABLE_ROWS,CHECKSUM,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,NODEGROUP,INDEX_LENGTH,TABLE_SCHEMA,TABLE_NAME,TABLE_CATALOG,PARTITION_NAME,MAX_DATA_LENGTH,TABLESPACE_NAME,PARTITION_METHOD,AVG_ROW_LENGTH,PARTITION_COMMENT,SUBPARTITION_NAME,SUBPARTITION_METHOD,PARTITION_EXPRESSION,PARTITION_DESCRIPTION,SUBPARTITION_EXPRESSION,PARTITION_ORDINAL_POSITION,SUBPARTITION_ORDINAL_POSITION
0,2024-06-22 13:25:38,<blank>,<blank>,0,0,<blank>,<blank>,16434816,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,384,<blank>,def,<blank>,<blank>,information_schema,0,<blank>,CHARACTER_SETS,<blank>
0,2024-06-22 13:25:38,<blank>,<blank>,0,0,<blank>,<blank>,16704765,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,231,<blank>,def,<blank>,<blank>,information_schema,0,<blank>,COLLATIONS,<blank>
0,2024-06-22 13:25:38,<blank>,<blank>,0,0,<blank>,<blank>,16357770,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,195,<blank>,def,<blank>,<blank>,information_schema,0,<blank>,COLLATION_CHARACTER_SET_APPLICABILITY,<blank>
0,0,<blank>,<blank>,16384,<blank>,<blank>,<blank>,def,<blank>,<blank>,<blank>,<blank>,0,<blank>,COLUMNS,<blank>,information_schema,<blank>,<blank>,<blank>,0,<blank>,<blank>,<blank>
0,2024-06-22 13:25:38,<blank>,<blank>,0,0,<blank>,<blank>,16757145,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,2565,<blank>,def,<blank>,<blank>,information_schema,0,<blank>,COLUMN_PRIVILEGES,<blank>
0,2024-06-22 13:25:38,<blank>,<blank>,0,0,<blank>,<blank>,16574250,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,490,<blank>,def,<blank>,<blank>,information_schema,0,<blank>,ENGINES,<blank>
0,0,<blank>,<blank>,16384,<blank>,<blank>,<blank>,def,<blank>,<blank>,<blank>,<blank>,0,<blank>,EVENTS,<blank>,information_schema,<blank>,<blank>,<blank>,0,<blank>,<blank>,<blank>
0,2024-06-22 13:25:38,<blank>,<blank>,0,0,<blank>,<blank>,16768412,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,14468,<blank>,def,<blank>,<blank>,information_schema,0,<blank>,FILES,<blank>
0,2024-06-22 13:25:38,<blank>,<blank>,0,0,<blank>,<blank>,16755036,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,3268,<blank>,def,<blank>,<blank>,information_schema,0,<blank>,GLOBAL_STATUS,<blank>
0,2024-06-22 13:25:38,<blank>,<blank>,0,0,<blank>,<blank>,16755036,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,3268,<blank>,def,<blank>,<blank>,information_schema,0,<blank>,GLOBAL_VARIABLES,<blank>
0,2024-06-22 13:25:38,<blank>,<blank>,0,0,<blank>,<blank>,16762755,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,4637,<blank>,def,<blank>,<blank>,information_schema,0,<blank>,KEY_COLUMN_USAGE,<blank>
0,0,<blank>,<blank>,16384,<blank>,<blank>,<blank>,def,<blank>,<blank>,<blank>,<blank>,0,<blank>,OPTIMIZER_TRACE,<blank>,information_schema,<blank>,<blank>,<blank>,0,<blank>,<blank>,<blank>
0,0,<blank>,<blank>,16384,<blank>,<blank>,<blank>,def,<blank>,<blank>,<blank>,<blank>,0,<blank>,PARAMETERS,<blank>,information_schema,<blank>,<blank>,<blank>,0,<blank>,<blank>,<blank>
0,0,<blank>,<blank>,16384,<blank>,<blank>,<blank>,def,<blank>,<blank>,<blank>,<blank>,0,<blank>,PARTITIONS,<blank>,information_schema,<blank>,<blank>,<blank>,0,<blank>,<blank>,<blank>
0,0,<blank>,<blank>,16384,<blank>,<blank>,<blank>,def,<blank>,<blank>,<blank>,<blank>,0,<blank>,PLUGINS,<blank>,information_schema,<blank>,<blank>,<blank>,0,<blank>,<blank>,<blank>
0,0,<blank>,<blank>,16384,<blank>,<blank>,<blank>,def,<blank>,<blank>,<blank>,<blank>,0,<blank>,PROCESSLIST,<blank>,information_schema,<blank>,<blank>,<blank>,0,<blank>,<blank>,<blank>
0,2024-06-22 13:25:38,<blank>,<blank>,0,0,<blank>,<blank>,16562084,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,308,<blank>,def,<blank>,<blank>,information_schema,0,<blank>,PROFILING,<blank>
0,2024-06-22 13:25:38,<blank>,<blank>,0,0,<blank>,<blank>,16767162,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,4814,<blank>,def,<blank>,<blank>,information_schema,0,<blank>,REFERENTIAL_CONSTRAINTS,<blank>
0,0,<blank>,<blank>,16384,<blank>,<blank>,<blank>,def,<blank>,<blank>,<blank>,<blank>,0,<blank>,ROUTINES,<blank>,information_schema,<blank>,<blank>,<blank>,0,<blank>,<blank>,<blank>
0,2024-06-22 13:25:38,<blank>,<blank>,0,0,<blank>,<blank>,16738048,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,3464,<blank>,def,<blank>,<blank>,information_schema,0,<blank>,SCHEMATA,<blank>
0,2024-06-22 13:25:38,<blank>,<blank>,0,0,<blank>,<blank>,16736899,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,2179,<blank>,def,<blank>,<blank>,information_schema,0,<blank>,SCHEMA_PRIVILEGES,<blank>
0,2024-06-22 13:25:38,<blank>,<blank>,0,0,<blank>,<blank>,16755036,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,3268,<blank>,def,<blank>,<blank>,information_schema,0,<blank>,SESSION_STATUS,<blank>
0,2024-06-22 13:25:38,<blank>,<blank>,0,0,<blank>,<blank>,16755036,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,3268,<blank>,def,<blank>,<blank>,information_schema,0,<blank>,SESSION_VARIABLES,<blank>
0,2024-06-22 13:25:38,<blank>,<blank>,0,0,<blank>,<blank>,16752736,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,5753,<blank>,def,<blank>,<blank>,information_schema,0,<blank>,STATISTICS,<blank>
0,2024-06-22 13:25:38,<blank>,<blank>,0,0,<blank>,<blank>,16757775,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,9441,<blank>,def,<blank>,<blank>,information_schema,0,<blank>,TABLES,<blank>
0,2024-06-22 13:25:38,<blank>,<blank>,0,0,<blank>,<blank>,16772763,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,6951,<blank>,def,<blank>,<blank>,information_schema,0,<blank>,TABLESPACES,<blank>
0,2024-06-22 13:25:38,<blank>,<blank>,0,0,<blank>,<blank>,16721712,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,2504,<blank>,def,<blank>,<blank>,information_schema,0,<blank>,TABLE_CONSTRAINTS,<blank>
0,2024-06-22 13:25:38,<blank>,<blank>,0,0,<blank>,<blank>,16748692,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,2372,<blank>,def,<blank>,<blank>,information_schema,0,<blank>,TABLE_PRIVILEGES,<blank>
